year,country,co2,co2_per_capita,trade_co2,coal_co2,cement_co2,oil_co2,gas_co2,gas_co2_per_capita,co2_growth_prct,share_global_co2
2003,Hungary,61.756,6.09,19.724,16.162,1.412,16.056,27.227,2.685,4.66,0.23
2004,Hungary,60.132,5.945,17.698,15.477,1.289,15.604,26.815,2.651,-2.63,0.21
2005,Hungary,60.278,5.976,17.509,13.598,1.199,16.404,28.025,2.779,0.24,0.2
2006,Hungary,59.642,5.931,23.174,13.617,1.296,17.173,26.512,2.636,-1.06,0.2
2007,Hungary,58.554,5.841,22.687,13.572,1.328,17.531,25.106,2.505,-1.82,0.19
2008,Hungary,57.248,5.73,24.146,13.064,1.261,17.239,24.617,2.464,-2.23,0.18
2009,Hungary,51.471,5.168,16.131,11.189,0.973,17.171,21.364,2.145,-10.09,0.16
2010,Hungary,52.069,5.245,17.452,11.672,0.735,15.972,22.918,2.308,1.16,0.16
2011,Hungary,50.191,5.072,18.799,11.955,0.564,15.029,21.875,2.211,-3.61,0.15
2012,Hungary,46.758,4.74,16.995,11.456,0.678,14.345,19.572,1.984,-6.84,0.13
2013,Hungary,43.59,4.433,18.631,10.166,0.516,13.845,18.365,1.868,-6.77,0.12
2014,Hungary,43.678,4.455,18.03,10.186,0.566,15.191,17.068,1.741,0.2,0.12
2015,Hungary,46.615,4.767,16.834,10.518,0.676,16.531,18.191,1.86,6.72,0.13
2016,Hungary,47.072,4.826,15.827,9.77,0.705,16.572,19.324,1.981,0.98,0.13
2017,Hungary,49.452,5.082,16.019,10.032,0.783,17.474,20.438,2.101,5.06,0.14
2018,Hungary,49.408,5.09,17.67,9.437,0.882,18.555,19.805,2.04,-0.09,0.13
2019,Hungary,49.08,5.068,16.377,8.181,1.023,19.373,19.825,2.047,-0.66,0.13
2020,Hungary,48.275,4.997,,7.657,1.023,18.42,20.498,2.122,-1.64,0.14
1936,Iceland,0.022,0.19,,0.022,,,,,,0.0
1937,Iceland,0.018,0.157,,0.018,,,,,-16.67,0.0
1938,Iceland,,,,,,,,,0.0,
1939,Iceland,,,,,,,,,0.0,
1940,Iceland,0.033,0.273,,0.033,,,,,80.0,0.0
1941,Iceland,0.026,0.209,,0.026,,,,,-22.22,0.0
1942,Iceland,,,,,,,,,0.0,
1943,Iceland,0.018,0.145,,0.018,,,,,-28.57,0.0
1944,Iceland,0.018,0.142,,0.018,,,,,0.0,0.0
1945,Iceland,0.015,0.112,,0.015,,,,,-20.0,0.0
1946,Iceland,0.011,0.083,,0.011,,,,,-25.0,0.0
1947,Iceland,0.004,0.027,,0.004,,,,,-66.67,0.0
1948,Iceland,0.004,0.027,,0.004,,,,,0.0,0.0
1949,Iceland,0.004,0.026,,0.004,,,,,0.0,0.0
1950,Iceland,0.74,5.188,,0.231,,0.509,,,20100.0,0.01
1951,Iceland,0.645,4.449,,0.165,,0.48,,,-12.87,0.01
1952,Iceland,0.777,5.259,,0.147,,0.63,,,20.45,0.01
1953,Iceland,0.916,6.074,,0.117,,0.799,,,17.92,0.01
1954,Iceland,0.78,5.062,,0.106,,0.674,,,-14.8,0.01
1955,Iceland,0.912,5.787,,0.15,,0.762,,,16.9,0.01
1956,Iceland,0.949,5.887,,0.11,,0.839,,,4.02,0.01
1957,Iceland,0.964,5.848,,0.084,,0.879,,,1.54,0.01
1958,Iceland,1.092,6.483,,0.081,0.015,0.997,,,13.3,0.01
1959,Iceland,1.238,7.199,,0.073,0.04,1.125,,,13.41,0.01
1960,Iceland,1.212,6.906,,0.058,0.036,1.118,,,-2.07,0.01
1961,Iceland,1.092,6.092,,0.044,0.036,1.011,,,-9.97,0.01
1962,Iceland,1.198,6.555,,0.044,0.047,1.107,,,9.73,0.01
1963,Iceland,1.304,7.006,,0.029,0.047,1.227,,,8.87,0.01
1964,Iceland,1.308,6.906,,0.033,0.055,1.22,,,0.28,0.01
1965,Iceland,1.396,7.256,,0.018,0.055,1.323,,,6.73,0.01
1966,Iceland,1.494,7.664,,0.015,0.058,1.422,,,7.09,0.01
1967,Iceland,1.443,7.31,,0.011,0.058,1.374,,,-3.43,0.01
1968,Iceland,1.593,7.98,,0.011,0.051,1.532,,,10.41,0.01
1969,Iceland,1.264,6.257,,0.004,0.047,1.213,,,-20.69,0.01
1970,Iceland,1.388,6.791,,0.004,0.043,1.341,,,9.86,0.01
1971,Iceland,1.472,7.109,,0.004,0.058,1.411,,,6.04,0.01
1972,Iceland,1.483,7.064,,0.004,0.065,1.414,,,0.72,0.01
1973,Iceland,1.75,8.224,,0.004,0.064,1.682,,,18.02,0.01
1974,Iceland,1.738,8.065,,,0.075,1.663,,,-0.66,0.01
1975,Iceland,1.613,7.399,,,0.078,1.535,,,-7.19,0.01
1976,Iceland,1.701,7.724,,,0.071,1.63,,,5.44,0.01
1977,Iceland,1.903,8.56,,,0.067,1.836,,,11.83,0.01
1978,Iceland,1.921,8.57,,,0.063,1.858,,,0.96,0.01
1979,Iceland,1.983,8.77,,0.051,0.059,1.872,,,3.24,0.01
1980,Iceland,1.862,8.157,,0.066,0.059,1.737,,,-6.11,0.01
1981,Iceland,1.748,7.578,,0.11,0.059,1.579,,,-6.11,0.01
1982,Iceland,1.594,6.832,,0.114,0.059,1.422,,,-8.82,0.01
1983,Iceland,1.543,6.536,,0.164,0.055,1.323,,,-3.22,0.01
1984,Iceland,1.81,7.578,,0.231,0.055,1.524,,,17.32,0.01
1985,Iceland,1.623,6.717,,0.245,0.054,1.323,,,-10.34,0.01
1986,Iceland,1.78,7.286,,0.274,0.051,1.455,,,9.71,0.01
1987,Iceland,1.845,7.468,,0.22,0.061,1.565,,,3.64,0.01
1988,Iceland,1.841,7.372,,0.227,0.06,1.554,,,-0.21,0.01
1989,Iceland,1.896,7.513,,0.234,0.053,1.609,,,3.01,0.01
1990,Iceland,2.228,8.737,,0.282,0.052,1.832,0.0,0.001,17.5,0.01
1991,Iceland,2.106,8.175,,0.245,0.048,1.742,0.0,0.001,-5.49,0.01
1992,Iceland,2.255,8.668,,0.243,0.045,1.898,0.0,0.001,7.07,0.01
1993,Iceland,2.411,9.18,,0.298,0.039,1.988,0.0,0.0,6.93,0.01
1994,Iceland,2.365,8.919,,0.293,0.037,1.964,0.0,0.001,-1.93,0.01
1995,Iceland,2.467,9.218,,0.296,0.037,2.051,0.0,0.001,4.33,0.01
1996,Iceland,2.523,9.338,,0.281,0.041,2.118,0.0,0.001,2.25,0.01
1997,Iceland,2.619,9.602,,0.32,0.045,2.184,0.0,0.001,3.8,0.01
1998,Iceland,2.638,9.581,,0.284,0.053,2.215,0.0,0.001,0.73,0.01
1999,Iceland,2.84,10.222,,0.358,0.06,2.309,0.0,0.001,7.69,0.01
2000,Iceland,2.932,10.456,,0.466,0.064,2.248,0.0,0.001,3.23,0.01
2001,Iceland,2.863,10.121,,0.502,0.058,2.159,0.0,0.001,-2.34,0.01
2002,Iceland,2.991,10.484,,0.513,0.038,2.291,0.0,0.001,4.47,0.01
2003,Iceland,2.985,10.366,,0.51,0.032,2.303,0.0,0.001,-0.21,0.01
2004,Iceland,3.109,10.68,,0.526,0.05,2.405,0.0,0.001,4.16,0.01
2005,Iceland,2.976,10.09,,0.484,0.054,2.315,0.0,0.0,-4.27,0.01
2006,Iceland,3.153,10.519,,0.515,0.061,2.445,0.0,0.0,5.93,0.01
2007,Iceland,3.496,11.456,,0.596,0.063,2.686,0.0,0.0,10.88,0.01
2008,Iceland,3.811,12.261,,0.639,0.061,2.92,0.0,0.0,9.02,0.01
2009,Iceland,3.728,11.794,,0.622,0.028,2.904,0.0,0.0,-2.2,0.01
2010,Iceland,3.625,11.315,,0.626,0.01,2.796,0.0,0.0,-2.76,0.01
2011,Iceland,3.501,10.824,,0.639,0.02,2.66,0.0,0.0,-3.4,0.01
2012,Iceland,3.497,10.738,,0.659,,2.662,0.0,0.0,-0.13,0.01
2013,Iceland,3.483,10.644,,0.661,,2.645,0.0,0.0,-0.4,0.01
2014,Iceland,3.459,10.528,,0.625,,2.648,0.0,0.0,-0.67,0.01
2015,Iceland,3.536,10.708,,0.661,,2.708,0.0,0.001,2.22,0.01
2016,Iceland,3.487,10.498,,0.66,,2.675,0.0,0.0,-1.38,0.01
2017,Iceland,3.605,10.78,,0.693,,2.762,0.0,0.0,3.37,0.01
2018,Iceland,3.663,10.88,,0.715,,2.788,0.0,0.0,1.62,0.01
2019,Iceland,3.551,10.473,,0.685,,2.696,0.0,0.001,-3.07,0.01
2020,Iceland,2.936,8.604,,0.685,,2.081,0.0,0.001,-17.31,0.01
1858,India,0.395,0.002,,0.395,,,,,,0.14
1859,India,0.637,0.003,,0.637,,,,,61.34,0.21
1860,India,0.644,0.003,,0.644,,,,,1.04,0.19
1861,India,0.498,0.002,,0.498,,,,,-22.68,0.14
1862,India,0.551,0.002,,0.551,,,,,10.67,0.16
1863,India,0.611,0.002,,0.611,,,,,10.84,0.16
1864,India,0.578,0.002,,0.578,,,,,-5.43,0.14
1865,India,0.568,0.002,,0.568,,,,,-1.72,0.13
1866,India,0.641,0.002,,0.641,,,,,12.87,0.14
1867,India,,,,,,,,,0.0,
1868,India,,,,,,,,,0.0,
1869,India,,,,,,,,,0.0,
1870,India,,,,,,,,,0.0,
1871,India,,,,,,,,,0.0,
1872,India,,,,,,,,,0.0,
1873,India,,,,,,,,,0.0,
1874,India,,,,,,,,,0.0,
1875,India,,,,,,,,,0.0,
1876,India,,,,,,,,,0.0,
1877,India,,,,,,,,,0.0,
1878,India,1.769,0.007,,1.769,,,,,176.17,0.25
1879,India,1.687,0.006,,1.613,,0.073,,,-4.68,0.22
1880,India,1.889,0.007,,1.779,,0.11,,,12.01,0.22
1881,India,1.842,0.007,,1.743,,0.099,,,-2.51,0.21
1882,India,2.199,0.008,,1.972,,0.227,,,19.4,0.24
1883,India,2.444,0.009,,2.294,,0.15,,,11.14,0.25
1884,India,2.733,0.01,,2.437,,0.297,,,11.84,0.27
1885,India,2.463,0.009,,2.257,,0.205,,,-9.91,0.24
1886,India,2.776,0.01,,2.42,,0.355,,,12.71,0.27
1887,India,3.07,0.011,,2.726,,0.344,,,10.61,0.29
1888,India,3.414,0.012,,2.978,,0.436,,,11.2,0.29
1889,India,4.027,0.014,,3.393,,0.634,,,17.95,0.34
1890,India,4.437,0.016,,3.781,,0.656,,,10.19,0.34
1891,India,4.778,0.017,,4.06,,0.718,,,7.69,0.35
1892,India,5.254,0.018,,4.422,,0.831,,,9.95,0.38
1893,India,5.55,0.019,,4.466,,1.084,,,5.63,0.41
1894,India,5.624,0.02,,4.917,,0.707,,,1.34,0.4
1895,India,7.043,0.024,,6.171,,0.872,,,25.25,0.47
1896,India,7.618,0.026,,6.712,,0.905,,,8.15,0.5
1897,India,8.263,0.029,,7.091,,1.172,,,8.48,0.51
1898,India,9.137,0.032,,8.034,,1.102,,,10.57,0.54
1899,India,10.067,0.035,,8.884,,1.183,,,10.18,0.54
1900,India,11.945,0.041,,10.67,,1.275,,,18.65,0.61
1901,India,13.196,0.045,,11.569,,1.627,,,10.48,0.65
1902,India,14.534,0.049,,12.944,,1.59,,,10.14,0.7
1903,India,14.821,0.05,,12.97,,1.85,,,1.97,0.66
1904,India,16.581,0.056,,14.328,,2.253,,,11.88,0.73
1905,India,16.952,0.056,,14.68,,2.272,,,2.23,0.7
1906,India,19.574,0.065,,17.06,,2.514,,,15.47,0.77
1907,India,21.8,0.072,,19.44,,2.36,,,11.37,0.76
1908,India,24.94,0.081,,22.269,,2.671,,,14.4,0.9
1909,India,24.172,0.078,,20.699,,3.473,,,-3.08,0.84
1910,India,23.517,0.076,,21.007,,2.51,,,-2.71,0.78
1911,India,24.814,0.08,,22.176,,2.638,,,5.51,0.81
1912,India,28.558,0.092,,25.645,,2.913,,,15.09,0.88
1913,India,31.507,0.101,,28.264,,3.243,,,10.33,0.9
1914,India,31.739,0.102,,28.712,,3.027,,,0.74,1.0
1915,India,33.184,0.106,,29.828,,3.356,,,4.55,1.06
1916,India,33.56,0.107,,30.087,,3.473,,,1.13,0.99
1917,India,35.065,0.112,,31.76,,3.305,,,4.48,0.99
1918,India,39.411,0.125,,36.139,,3.272,,,12.39,1.13
1919,India,43.031,0.136,,39.459,,3.572,,,9.19,1.43
1920,India,34.913,0.11,,31.322,,3.591,,,-18.87,1.0
1921,India,37.553,0.118,,33.662,,3.891,,,7.56,1.22
1922,India,36.951,0.115,,33.151,,3.799,,,-1.61,1.15
1923,India,38.021,0.117,,34.28,,3.741,,,2.9,1.04
1924,India,40.68,0.124,,36.932,,3.749,,,7.0,1.11
1925,India,40.137,0.121,,36.451,,3.686,,,-1.34,1.08
1926,India,39.995,0.12,,36.62,,3.375,,,-0.35,1.1
1927,India,41.939,0.124,,38.509,,3.43,,,4.86,1.05
1928,India,40.129,0.118,,39.312,0.289,0.528,,,-4.32,1.01
1929,India,41.766,0.121,,40.84,0.293,0.634,,,4.08,0.98
1930,India,42.459,0.122,,41.51,0.293,0.656,,,1.66,1.08
1931,India,38.905,0.11,,37.868,0.3,0.736,,,-8.37,1.11
1932,India,36.179,0.101,,35.143,0.304,0.733,,,-7.01,1.15
1933,India,35.516,0.098,,34.509,0.319,0.689,,,-1.83,1.07
1934,India,39.666,0.108,,38.466,0.39,0.81,,,11.68,1.1
1935,India,41.45,0.111,,40.139,0.454,0.857,,,4.5,1.09
1936,India,40.741,0.108,,39.432,0.499,0.81,,,-1.71,0.98
1937,India,45.129,0.118,,43.661,0.581,0.887,,,10.77,1.01
1938,India,50.45,0.13,,49.428,,1.022,,,11.79,1.2
1939,India,49.381,0.126,,48.428,,0.953,,,-2.12,1.11
1940,India,52.382,0.133,,51.25,,1.132,,,6.08,1.08
1941,India,53.654,0.136,,51.383,1.084,1.187,,,2.43,1.08
1942,India,53.603,0.136,,51.327,1.133,1.143,,,-0.1,1.09
1943,India,46.708,0.12,,44.491,1.095,1.121,,,-12.86,0.93
1944,India,47.761,0.123,,45.563,1.058,1.14,,,2.25,0.94
1945,India,52.946,0.138,,50.865,1.11,0.971,,,10.86,1.25
1946,India,52.297,0.137,,50.394,1.005,0.898,,,-1.23,1.13
1947,India,53.254,0.141,,51.741,0.75,0.762,,,1.83,1.04
1948,India,53.278,0.142,,51.702,0.806,0.769,,,0.04,0.99
1949,India,56.265,0.15,,54.401,1.088,0.777,,,5.61,1.07
1950,India,61.177,0.163,,52.635,1.354,7.189,,,8.73,1.02
1951,India,64.1,0.168,,54.59,1.658,7.852,,,4.78,1.0
1952,India,67.509,0.174,,58.113,1.834,7.562,,,5.32,1.04
1953,India,68.789,0.174,,59.151,1.958,7.68,,,1.9,1.03
1954,India,72.5,0.18,,60.678,2.281,9.541,,,5.39,1.07
1955,India,78.879,0.192,,63.802,2.326,12.751,,,8.8,1.06
1956,India,81.749,0.196,,65.25,2.554,13.945,,,3.64,1.03
1957,India,91.739,0.216,,72.941,2.903,15.894,,,12.22,1.12
1958,India,95.924,0.221,,75.927,3.154,16.843,,,4.56,1.14
1959,India,101.561,0.23,,79.637,3.537,18.387,,,5.88,1.15
1960,India,111.45,0.247,,88.003,4.002,19.445,,,9.74,1.19
1961,India,120.539,0.262,,95.02,4.205,21.31,0.004,0.0,8.16,1.28
1962,India,132.729,0.283,,103.407,4.381,24.885,0.011,0.0,10.11,1.36
1963,India,142.601,0.298,,110.577,4.771,27.106,0.011,0.0,7.44,1.39
1964,India,139.639,0.286,,106.075,4.944,28.122,0.022,0.0,-2.08,1.29
1965,India,153.868,0.308,,116.622,5.398,30.815,0.282,0.001,10.19,1.36
1966,India,159.54,0.313,,117.151,5.57,35.676,0.311,0.001,3.69,1.34
1967,India,159.726,0.307,,119.265,5.821,32.698,0.487,0.001,0.12,1.3
1968,India,174.246,0.328,,124.003,5.872,42.25,0.751,0.001,9.09,1.35
1969,India,177.589,0.327,,123.543,6.438,45.35,0.997,0.002,1.92,1.29
1970,India,181.899,0.328,,123.727,6.495,49.332,0.923,0.002,2.43,1.22
1971,India,192.145,0.338,,127.147,7.052,55.443,1.085,0.002,5.63,1.24
1972,India,203.227,0.35,,134.568,7.363,58.878,1.205,0.002,5.77,1.25
1973,India,209.291,0.352,,138.005,6.921,61.749,1.169,0.002,2.98,1.23
1974,India,216.061,0.355,,145.846,6.501,60.628,1.359,0.002,3.23,1.27
1975,India,234.439,0.376,,161.568,7.288,61.838,1.733,0.003,8.51,1.38
1976,India,244.99,0.384,,169.161,8.279,63.438,2.294,0.004,4.5,1.36
1977,India,259.215,0.397,,177.763,8.322,68.557,2.481,0.004,5.81,1.4
1978,India,263.398,0.395,,174.937,8.421,75.317,2.741,0.004,1.61,1.38
1979,India,276.542,0.405,,180.88,7.752,82.664,3.03,0.004,4.99,1.41
1980,India,291.992,0.418,,197.618,7.545,83.176,2.488,0.004,5.59,1.5
1981,India,315.266,0.441,,210.605,8.888,89.713,2.884,0.004,7.97,1.66
1982,India,325.684,0.445,,213.427,9.676,94.407,4.36,0.006,3.3,1.73
1983,India,352.53,0.47,,232.85,10.951,99.17,5.243,0.007,8.24,1.86
1984,India,361.889,0.472,,231.822,12.593,106.105,6.17,0.008,2.65,1.84
1985,India,397.953,0.507,,253.65,14.39,116.76,7.2,0.009,9.97,1.96
1986,India,426.699,0.532,,273.56,16.006,121.857,10.31,0.013,7.22,2.07
1987,India,455.759,0.556,,292.272,16.412,127.671,12.776,0.016,6.81,2.14
1988,India,492.144,0.588,,317.623,18.229,133.615,15.206,0.018,7.98,2.23
1989,India,541.135,0.633,,340.109,20.791,150.714,18.518,0.022,9.95,2.42
1990,India,578.518,0.662,-0.556,367.036,22.348,158.167,21.097,0.024,6.91,2.54
1991,India,615.925,0.691,-16.67,393.603,24.503,166.423,23.563,0.026,6.47,2.65
1992,India,656.033,0.722,-7.428,412.001,25.156,188.055,27.256,0.03,6.51,2.91
1993,India,677.916,0.731,-23.93,433.738,26.602,186.879,26.996,0.029,3.34,2.97
1994,India,716.918,0.758,-29.581,456.367,28.54,198.954,29.0,0.031,5.75,3.12
1995,India,762.121,0.791,-39.912,472.395,31.104,216.281,39.051,0.04,6.31,3.25
1996,India,825.919,0.841,-55.657,505.217,34.079,243.16,39.747,0.04,8.37,3.42
1997,India,859.686,0.859,-54.251,528.474,37.418,244.202,46.024,0.046,4.09,3.54
1998,India,877.698,0.861,-55.363,524.872,39.026,262.892,47.595,0.047,2.1,3.63
1999,India,951.749,0.917,-45.816,561.326,44.592,300.51,42.316,0.041,8.44,3.88
2000,India,978.919,0.926,-81.893,573.692,45.957,312.287,43.873,0.042,2.85,3.88
2001,India,992.56,0.923,-71.566,582.912,46.74,316.115,43.569,0.04,1.39,3.9
2002,India,1023.027,0.936,-82.779,599.45,49.111,324.588,47.134,0.043,3.07,3.93
2003,India,1059.616,0.953,-69.216,626.782,50.88,329.937,49.988,0.045,3.58,3.87
2004,India,1125.471,0.996,-71.421,670.922,55.545,347.518,49.585,0.044,6.21,3.93
2005,India,1185.953,1.033,-90.143,722.497,59.687,351.646,50.439,0.044,5.37,4.01
2006,India,1259.744,1.081,-79.797,774.666,64.905,368.891,49.442,0.042,6.22,4.12
2007,India,1358.152,1.148,-80.755,843.677,68.333,391.028,52.696,0.044,7.81,4.31
2008,India,1462.815,1.218,-98.943,912.093,73.245,412.316,63.047,0.052,7.71,4.56
2009,India,1612.817,1.324,-73.128,985.349,81.268,431.61,112.685,0.092,10.25,5.1
2010,India,1677.888,1.359,-89.193,1017.376,86.029,438.373,134.244,0.109,4.03,5.03
2011,India,1780.13,1.424,-116.069,1091.465,91.314,458.909,136.364,0.109,6.09,5.16
2012,India,1963.586,1.551,-141.179,1247.112,100.237,488.554,125.605,0.099,10.31,5.61
2013,India,2036.937,1.59,-208.43,1320.664,107.82,495.642,110.689,0.086,3.74,5.77
2014,India,2185.856,1.687,-204.592,1447.723,115.825,511.166,109.468,0.084,7.31,6.15
2015,India,2268.567,1.732,-190.365,1487.726,117.508,554.789,106.871,0.082,3.78,6.39
2016,India,2382.223,1.799,-203.696,1530.271,123.281,613.166,113.622,0.086,5.01,6.72
2017,India,2433.856,1.818,-190.634,1561.224,121.047,631.087,118.922,0.089,2.17,6.77
2018,India,2599.806,1.922,-236.531,1677.771,138.965,655.19,126.201,0.093,6.82,7.09
2019,India,2625.968,1.922,-215.495,1677.934,143.664,674.011,128.68,0.094,1.01,7.15
2020,India,2441.792,1.769,,1587.552,122.908,602.67,126.984,0.092,-7.01,7.02
1889,Indonesia,0.004,0.0,,0.004,,,,,,0.0
1890,Indonesia,0.015,0.0,,0.015,,,,,300.0,0.0
1891,Indonesia,0.022,0.001,,0.022,,,,,50.0,0.0
1892,Indonesia,0.191,0.006,,0.191,,,,,767.71,0.01
1893,Indonesia,0.403,0.012,,0.178,,0.225,,,111.28,0.03
1894,Indonesia,0.48,0.014,,0.256,,0.224,,,19.09,0.03
1895,Indonesia,0.769,0.022,,0.342,,0.427,,,60.31,0.05
1896,Indonesia,0.861,0.024,,0.377,,0.484,,,11.9,0.06
1897,Indonesia,1.107,0.03,,0.432,,0.674,,,28.51,0.07
1898,Indonesia,1.29,0.035,,0.436,,0.854,,,16.56,0.08
1899,Indonesia,1.125,0.03,,0.495,,0.63,,,-12.78,0.06
1900,Indonesia,1.209,0.032,,0.539,,0.671,,,7.49,0.06
1901,Indonesia,2.242,0.058,,0.542,,1.7,,,85.45,0.11
1902,Indonesia,1.539,0.039,,0.509,,1.03,,,-31.37,0.07
1903,Indonesia,3.001,0.076,,0.561,,2.44,,,95.0,0.13
1904,Indonesia,3.367,0.084,,0.612,,2.755,,,12.21,0.15
1905,Indonesia,4.133,0.102,,0.81,,3.323,,,22.74,0.17
1906,Indonesia,4.452,0.109,,0.986,,3.466,,,7.71,0.17
1907,Indonesia,5.294,0.128,,1.066,,4.228,,,18.93,0.18
1908,Indonesia,5.492,0.131,,1.136,,4.356,,,3.74,0.2
1909,Indonesia,5.987,0.141,,1.312,,4.675,,,9.01,0.21
1910,Indonesia,6.112,0.143,,1.44,,4.672,,,2.08,0.2
1911,Indonesia,6.727,0.156,,1.601,,5.126,,,10.07,0.22
1912,Indonesia,5.84,0.134,,1.616,,4.225,,,-13.18,0.18
1913,Indonesia,5.899,0.134,,1.506,,4.393,,,1.0,0.17
1914,Indonesia,6.016,0.135,,1.641,,4.375,,,1.99,0.19
1915,Indonesia,6.031,0.134,,1.652,,4.378,,,0.24,0.19
1916,Indonesia,6.764,0.149,,1.986,,4.778,,,12.15,0.2
1917,Indonesia,7.137,0.156,,2.184,,4.954,,,5.53,0.2
1918,Indonesia,7.13,0.154,,2.209,,4.921,,,-0.1,0.2
1919,Indonesia,7.636,0.164,,2.52,,5.116,,,7.09,0.25
1920,Indonesia,8.262,0.175,,2.909,,5.353,,,8.21,0.24
1921,Indonesia,8.757,0.183,,3.216,,5.398,0.143,0.003,5.99,0.28
1922,Indonesia,8.299,0.171,,2.763,,5.386,0.15,0.003,-5.23,0.26
1923,Indonesia,9.589,0.196,,3.066,,6.19,0.333,0.007,15.54,0.26
1924,Indonesia,10.585,0.213,,3.84,,6.324,0.421,0.008,10.39,0.29
1925,Indonesia,11.08,0.221,,3.715,,6.753,0.612,0.012,4.67,0.3
1926,Indonesia,11.098,0.218,,3.891,,6.654,0.553,0.011,0.17,0.3
1927,Indonesia,12.886,0.25,,4.298,,8.057,0.531,0.01,16.11,0.32
1928,Indonesia,14.832,0.285,,4.52,,9.597,0.714,0.014,15.1,0.37
1929,Indonesia,18.539,0.352,,4.862,0.073,12.806,0.799,0.015,25.0,0.44
1930,Indonesia,18.085,0.339,,4.966,0.069,12.248,0.803,0.015,-2.45,0.46
1931,Indonesia,16.894,0.312,,3.725,0.065,11.847,1.256,0.023,-6.58,0.48
1932,Indonesia,16.587,0.302,,2.785,0.04,12.447,1.315,0.024,-1.82,0.53
1933,Indonesia,17.862,0.32,,2.744,0.036,13.568,1.513,0.027,7.69,0.54
1934,Indonesia,19.236,0.34,,2.741,0.055,14.827,1.612,0.028,7.69,0.53
1935,Indonesia,20.001,0.348,,2.946,0.069,15.355,1.631,0.028,3.98,0.53
1936,Indonesia,21.767,0.374,,3.045,0.065,17.1,1.557,0.027,8.83,0.52
1937,Indonesia,25.344,0.429,,3.642,,20.005,1.696,0.029,16.43,0.57
1938,Indonesia,26.733,0.446,,3.866,,21.039,1.828,0.03,5.48,0.64
1939,Indonesia,29.201,0.48,,4.726,0.084,22.512,1.879,0.031,9.24,0.66
1940,Indonesia,28.733,0.465,,5.331,,21.456,1.946,0.032,-1.6,0.59
1941,Indonesia,26.486,0.422,,5.281,0.084,21.122,,,-7.82,0.53
1942,Indonesia,9.457,0.148,,,,9.457,,,-64.3,0.19
1943,Indonesia,19.027,0.296,,,,19.027,,,101.2,0.38
1944,Indonesia,8.772,0.136,,,,8.772,,,-53.9,0.17
1945,Indonesia,3.807,0.059,,0.813,,2.993,,,-56.6,0.09
1946,Indonesia,1.345,0.021,,0.418,,0.927,,,-64.68,0.03
1947,Indonesia,4.056,0.061,,0.59,0.004,3.415,0.048,0.001,201.63,0.08
1948,Indonesia,15.495,0.23,,1.433,0.018,13.337,0.707,0.01,282.02,0.29
1949,Indonesia,21.903,0.32,,1.755,,19.012,1.136,0.017,41.36,0.42
1950,Indonesia,9.831,0.141,,2.042,,6.598,1.191,0.017,-55.12,0.16
1951,Indonesia,9.39,0.132,,2.114,0.051,5.72,1.506,0.021,-4.48,0.15
1952,Indonesia,12.721,0.176,,2.454,0.069,8.146,2.051,0.028,35.47,0.2
1953,Indonesia,13.08,0.177,,2.173,0.073,8.21,2.624,0.036,2.82,0.2
1954,Indonesia,14.747,0.195,,2.246,0.073,9.391,3.037,0.04,12.75,0.22
1955,Indonesia,20.844,0.27,,2.121,0.073,14.986,3.664,0.047,41.34,0.28
1956,Indonesia,21.811,0.276,,2.283,0.073,15.532,3.924,0.05,4.64,0.28
1957,Indonesia,22.412,0.276,,1.916,0.124,16.211,4.162,0.051,2.75,0.27
1958,Indonesia,22.206,0.267,,1.605,0.149,16.447,4.005,0.048,-0.92,0.26
1959,Indonesia,23.862,0.279,,1.777,0.171,17.635,4.28,0.05,7.46,0.27
1960,Indonesia,21.385,0.244,,1.821,0.193,14.705,4.667,0.053,-10.38,0.23
1961,Indonesia,26.002,0.289,,1.528,0.222,19.324,4.928,0.055,21.59,0.28
1962,Indonesia,22.975,0.248,,1.301,0.251,16.232,5.192,0.056,-11.64,0.24
1963,Indonesia,22.763,0.24,,1.594,0.164,15.634,5.371,0.056,-0.92,0.22
1964,Indonesia,22.374,0.229,,1.205,0.218,15.708,5.243,0.054,-1.71,0.21
1965,Indonesia,24.668,0.246,,0.762,0.182,17.668,6.057,0.06,10.25,0.22
1966,Indonesia,23.375,0.227,,0.898,0.167,16.239,6.071,0.059,-5.24,0.2
1967,Indonesia,24.54,0.232,,0.619,0.174,17.624,6.123,0.058,4.98,0.2
1968,Indonesia,27.563,0.253,,0.473,0.204,20.577,6.309,0.058,12.32,0.21
1969,Indonesia,33.362,0.298,,0.561,0.265,27.538,4.998,0.045,21.04,0.24
1970,Indonesia,35.791,0.312,,0.432,0.273,29.213,2.301,0.02,7.28,0.24
1971,Indonesia,38.955,0.33,,0.553,0.241,31.576,2.711,0.023,8.84,0.25
1972,Indonesia,43.306,0.358,,0.524,0.298,34.563,1.997,0.016,11.17,0.27
1973,Indonesia,49.098,0.395,,0.355,0.367,38.714,3.144,0.025,13.37,0.29
1974,Indonesia,51.227,0.402,,0.44,0.421,39.359,3.272,0.026,4.34,0.3
1975,Indonesia,53.933,0.413,,0.546,0.548,40.755,5.108,0.039,5.28,0.32
1976,Indonesia,61.788,0.461,,0.447,0.926,45.814,5.643,0.042,14.57,0.34
1977,Indonesia,82.416,0.6,,0.509,1.372,56.36,6.625,0.048,33.39,0.45
